customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,avg_order_value,avg_monthly_spend
105,AW00011104,Edgar Sara,,50 and above,VIP,2013-06-15,156,3,8173,6,6,25,2724.33,326.92
106,AW00011105,Candace Fernandez,,50 and above,VIP,2013-06-05,156,3,8096,5,5,25,2698.67,323.84
107,AW00011106,Jessie Liu,,50 and above,VIP,2013-06-15,156,3,8079,3,3,25,2693.0,323.16
108,AW00011107,Bianca Lin,,50 and above,VIP,2013-06-21,156,3,8171,6,6,25,2723.67,326.84
109,AW00011108,Kari Alvarez,,50 and above,VIP,2013-06-23,156,3,8124,5,5,25,2708.0,324.96
110,AW00011109,Ruben Kapoor,,50 and above,VIP,2013-06-24,156,3,8245,8,8,25,2748.33,329.8
111,AW00011110,Curtis Yang,,50 and above,VIP,2013-08-20,154,3,8093,5,5,27,2697.67,299.74
112,AW00011111,Meredith Gutierrez,,50 and above,VIP,2013-08-22,154,3,8137,8,8,27,2712.33,301.37
113,AW00011112,Crystal Wang,,50 and above,VIP,2013-09-02,153,3,8295,6,6,28,2765.0,296.25
114,AW00011113,Micheal Blanco,,50 and above,New,2013-04-21,158,3,110,7,7,2,36.67,55.0
115,AW00011114,Leslie Moreno,,50 and above,New,2013-12-26,150,3,123,7,6,9,41.0,13.67
116,AW00011115,Alvin Cai,,50 and above,New,2014-01-02,149,3,114,6,6,11,38.0,10.36
117,AW00011116,Clinton Carlson,,50 and above,New,2013-10-16,152,3,149,7,7,7,49.67,21.29
118,AW00011117,April Deng,,50 and above,VIP,2013-06-25,156,3,8185,8,8,25,2728.33,327.4
119,AW00011118,Alvin Zeng,,50 and above,New,2014-01-26,149,3,124,8,6,6,41.33,20.67
120,AW00011119,Evan James,,50 and above,New,2013-11-23,151,2,85,4,4,9,42.5,9.44
121,AW00011120,Beth Jim├®nez,,50 and above,VIP,2013-09-19,153,3,8242,10,10,28,2747.33,294.36
122,AW00011121,Orlando Suarez,,50 and above,New,2013-11-04,151,3,58,6,5,5,19.33,11.6
123,AW00011122,Byron Vazquez,,50 and above,New,2013-08-22,154,3,43,3,3,6,14.33,7.17
124,AW00011123,Philip Alvarez,,50 and above,New,2014-01-25,149,3,150,8,7,9,50.0,16.67
125,AW00011124,Ross Jordan,,50 and above,VIP,2013-06-18,156,3,8129,6,6,25,2709.67,325.16
126,AW00011125,Dana Navarro,,50 and above,New,2013-07-03,155,3,79,7,7,6,26.33,13.17
127,AW00011126,Shaun Carson,,50 and above,Regular,2013-11-03,151,3,4971,8,7,30,1657.0,165.7
128,AW00011127,Jan Edwards,,50 and above,New,2013-10-01,152,2,44,3,3,6,22.0,7.33
129,AW00011128,Samantha Long,,50 and above,New,2013-08-12,154,2,144,7,7,2,72.0,72.0
130,AW00011129,Julia Wright,,50 and above,VIP,2013-01-09,161,2,5873,2,2,17,2936.5,345.47
131,AW00011130,Caroline Russell,,50 and above,New,2013-12-09,150,1,37,2,2,0,37.0,37.0
132,AW00011131,Amanda Rivera,,50 and above,New,2014-01-23,149,5,166,9,9,3,33.2,55.33
133,AW00011132,Melissa Richardson,,50 and above,New,2013-04-09,158,1,2372,6,6,0,2372.0,2372.0
134,AW00011133,Angela Griffin,,50 and above,New,2013-12-30,150,1,72,4,4,0,72.0,72.0
135,AW00011134,Larry Townsend,,50 and above,Regular,2013-11-03,151,3,4911,3,3,30,1637.0,163.7
136,AW00011135,Marcus Harris,,50 and above,New,2013-04-18,158,1,2335,3,3,0,2335.0,2335.0
137,AW00011136,Brianna Morgan,,50 and above,New,2013-01-03,161,1,2381,3,3,0,2381.0,2381.0
138,AW00011137,Jasmine Taylor,,50 and above,New,2014-01-20,149,2,202,5,4,6,101.0,33.67
139,AW00011138,Lauren Davis,,50 and above,New,2013-12-31,150,2,79,4,4,3,39.5,26.33
140,AW00011139,Tanya Moreno,,50 and above,New,2013-10-17,152,2,84,3,3,1,42.0,84.0
141,AW00011140,Javier Alvarez,,50 and above,New,2013-03-19,159,1,40,2,2,0,40.0,40.0
142,AW00011141,Nicole Ramirez,,50 and above,New,2013-09-28,153,2,114,5,5,4,57.0,28.5
143,AW00011142,Eduardo Patterson,,50 and above,New,2014-01-13,149,17,979,36,23,11,57.59,89.0
144,AW00011143,Jonathan Henderson,,50 and above,New,2013-12-19,150,2,48,5,4,6,24.0,8.0
145,AW00011144,Edward Hernandez,,50 and above,New,2013-01-25,161,1,2400,3,3,0,2400.0,2400.0
146,AW00011145,Jasmine Coleman,,50 and above,New,2013-01-25,161,1,2310,3,3,0,2310.0,2310.0
147,AW00011146,Karla Goel,,50 and above,New,2013-09-15,153,3,113,7,6,7,37.67,16.14
148,AW00011147,Ernest Wu,,50 and above,VIP,2013-10-16,152,3,8195,7,7,29,2731.67,282.59
149,AW00011148,Ross Vazquez,,50 and above,New,2013-12-03,150,3,126,6,5,9,42.0,14.0
150,AW00011149,Theodore Gill,,50 and above,New,2013-11-29,151,3,41,4,4,5,13.67,8.2
151,AW00011150,Russell Shen,,50 and above,New,2013-07-15,155,3,192,8,7,4,64.0,48.0
152,AW00011151,Melinda Gill,,50 and above,VIP,2013-10-20,152,3,8087,6,6,29,2695.67,278.86
153,AW00011152,James Williams,,50 and above,New,2013-01-09,161,1,2295,1,1,0,2295.0,2295.0
154,AW00011153,Angela James,,50 and above,New,2013-03-29,159,2,110,5,5,0,55.0,110.0
155,AW00011154,Megan Walker,,50 and above,New,2013-01-10,161,1,2320,1,1,0,2320.0,2320.0
156,AW00011155,Hunter Robinson,,50 and above,New,2013-01-06,161,1,2320,1,1,0,2320.0,2320.0
157,AW00011156,Maria Roberts,,50 and above,New,2013-01-08,161,1,2390,4,4,0,2390.0,2390.0
158,AW00011157,Hannah Long,,50 and above,New,2013-09-11,153,2,41,3,3,2,20.5,20.5
159,AW00011158,Jason Wright,,50 and above,New,2013-01-19,161,1,2396,3,3,0,2396.0,2396.0
160,AW00011159,Brianna Hughes,,50 and above,New,2013-11-07,151,2,48,5,4,2,24.0,24.0
161,AW00011160,Maurice Tang,,50 and above,New,2013-02-21,160,1,2322,2,2,0,2322.0,2322.0
162,AW00011161,Emily Wood,,50 and above,New,2013-11-11,151,2,94,6,6,5,47.0,18.8
163,AW00011162,Chase Cox,,50 and above,New,2013-02-18,160,1,2330,2,2,0,2330.0,2330.0
164,AW00011163,Gabriel Wang,,50 and above,New,2013-08-05,154,2,46,4,4,3,23.0,15.33
165,AW00011164,Devin Brooks,,50 and above,New,2013-08-05,154,2,145,6,6,4,72.5,36.25
166,AW00011165,Jocelyn Alexander,,50 and above,New,2013-06-05,156,2,103,3,3,1,51.5,103.0
167,AW00011166,Ashley Martinez,,50 and above,New,2013-12-06,150,2,88,5,5,2,44.0,44.0
168,AW00011167,Jasmine Barnes,,50 and above,New,2013-11-28,151,2,3126,4,4,10,1563.0,312.6
169,AW00011168,David Rodriguez,,50 and above,New,2013-11-16,151,2,3136,7,7,10,1568.0,313.6
170,AW00011169,Bryce Richardson,,50 and above,New,2013-09-24,153,2,81,5,5,4,40.5,20.25
171,AW00011170,Carol Howard,,50 and above,New,2013-12-29,150,2,157,7,7,4,78.5,39.25
172,AW00011171,Jonathan Hill,,50 and above,VIP,2013-11-07,151,3,6716,8,8,27,2238.67,248.74
173,AW00011172,Gabrielle Adams,,50 and above,New,2014-01-11,149,2,129,7,6,8,64.5,16.13
174,AW00011173,Sarah Thomas,,50 and above,New,2013-12-24,150,2,103,3,3,9,51.5,11.44
175,AW00011174,Nicholas Robinson,,50 and above,New,2013-07-25,155,2,48,5,4,0,24.0,48.0
176,AW00011175,Luis Wang,,50 and above,VIP,2013-11-03,151,3,6710,8,8,27,2236.67,248.52
177,AW00011176,Mason Roberts,,50 and above,New,2014-01-27,149,28,1317,60,27,11,47.04,119.73
178,AW00011177,Jose Flores,,50 and above,New,2013-10-14,152,2,135,6,6,7,67.5,19.29
179,AW00011178,Nathan Johnson,,50 and above,New,2013-05-26,157,2,145,6,6,3,72.5,48.33
180,AW00011179,Molly Rodriguez,,50 and above,New,2014-01-09,149,2,125,6,6,10,62.5,12.5
181,AW00011180,April Anand,,50 and above,New,2013-09-25,153,2,138,6,6,6,69.0,23.0
182,AW00011181,Devin Martin,,50 and above,New,2013-07-11,155,2,41,3,3,2,20.5,20.5
183,AW00011182,Stephanie Torres,,50 and above,New,2014-01-05,149,2,81,5,5,5,40.5,16.2
184,AW00011183,Jasmine Lee,,50 and above,New,2013-06-13,156,2,46,4,4,2,23.0,23.0
185,AW00011184,Meghan Hernandez,,50 and above,New,2013-10-09,152,2,68,5,5,2,34.0,34.0
186,AW00011185,Ashley Henderson,,50 and above,New,2014-01-26,149,27,1616,68,29,11,59.85,146.91
187,AW00011186,Sarah Price,,50 and above,New,2014-01-07,149,2,41,3,3,3,20.5,13.67
188,AW00011187,Jennifer Cooper,,50 and above,New,2013-08-06,154,2,108,4,4,4,54.0,27.0
189,AW00011188,Catherine Morris,,50 and above,New,2014-01-21,149,2,81,5,5,2,40.5,40.5
190,AW00011189,Lawrence Blanco,,50 and above,VIP,2013-02-05,160,2,5944,6,6,18,2972.0,330.22
191,AW00011190,Carson Bryant,,50 and above,New,2014-01-16,149,2,46,4,4,5,23.0,9.2
192,AW00011191,Kristi Perez,,50 and above,VIP,2013-11-06,151,3,6743,7,7,27,2247.67,249.74
193,AW00011192,James Brown,,50 and above,New,2013-09-25,153,2,114,5,5,3,57.0,38.0
194,AW00011193,Ian Gray,,50 and above,New,2013-08-18,154,2,41,3,3,6,20.5,6.83
195,AW00011194,Jacqueline Price,,50 and above,New,2013-12-08,150,2,105,6,6,9,52.5,11.67
196,AW00011195,Megan Henderson,,50 and above,New,2013-10-22,152,2,105,6,6,6,52.5,17.5
197,AW00011196,Alfredo Romero,,50 and above,New,2013-09-24,153,2,162,4,4,6,81.0,27.0
198,AW00011197,Andrea Morris,,50 and above,New,2013-07-20,155,2,207,6,5,2,103.5,103.5
199,AW00011198,Brooke Sanders,,50 and above,New,2013-02-13,160,2,98,4,4,0,49.0,98.0
200,AW00011199,Jacqueline Bennett,,50 and above,New,2013-10-17,152,2,132,6,6,7,66.0,18.86
201,AW00011200,Jason Griffin,,50 and above,New,2014-01-20,149,27,1461,55,26,11,54.11,132.82
202,AW00011201,Amanda Foster,,50 and above,New,2013-09-09,153,2,181,6,6,2,90.5,90.5
203,AW00011202,Alexia Price,,50 and above,New,2013-09-21,153,2,74,3,3,0,37.0,74.0
204,AW00011203,Luis Diaz,,50 and above,New,2013-12-11,150,17,800,32,19,10,47.06,80.0
205,AW00011204,Destiny Rivera,,50 and above,New,2013-11-10,151,2,77,4,4,3,38.5,25.67
206,AW00011205,Abby Fernandez,,50 and above,New,2013-10-08,152,2,37,2,2,3,18.5,12.33
207,AW00011206,Blake Flores,,50 and above,New,2013-05-30,157,2,77,4,4,0,38.5,77.0
208,AW00011207,Danielle Cox,,50 and above,New,2013-10-18,152,2,77,4,4,9,38.5,8.56
209,AW00011208,Maria Reed,,50 and above,New,2013-09-17,153,2,134,7,7,6,67.0,22.33
210,AW00011209,Allison Evans,,50 and above,New,2014-01-22,149,2,37,2,2,10,18.5,3.7
211,AW00011210,Edward Wood,,50 and above,New,2013-09-06,153,2,70,5,5,4,35.0,17.5
212,AW00011211,Samantha Russell,,50 and above,New,2014-01-07,149,17,792,33,22,11,46.59,72.0
213,AW00011212,Chloe Campbell,,50 and above,Regular,2014-01-17,149,17,824,33,20,12,48.47,68.67
214,AW00011213,Stephanie Murphy,,50 and above,New,2013-09-09,153,2,77,4,4,6,38.5,12.83
215,AW00011214,Charles Miller,,50 and above,New,2013-11-19,151,2,162,4,4,3,81.0,54.0
216,AW00011215,Ana Perry,,50 and above,New,2013-12-15,150,17,1154,32,21,10,67.88,115.4
217,AW00011216,Jasmine Torres,,50 and above,VIP,2013-02-05,160,2,5948,5,5,18,2974.0,330.44
218,AW00011217,Natalie Adams,,50 and above,VIP,2013-02-14,160,2,5953,3,3,18,2976.5,330.72
219,AW00011218,Olivia Brown,,50 and above,New,2014-01-04,149,2,39,3,2,11,19.5,3.55
220,AW00011219,Charles Cook,,50 and above,New,2014-01-24,149,2,39,3,2,3,19.5,13.0
221,AW00011220,Erica Huang,,50 and above,New,2013-12-13,150,2,50,4,4,9,25.0,5.56
222,AW00011221,Nathan Perry,,50 and above,New,2013-10-17,152,2,46,4,4,6,23.0,7.67
223,AW00011222,Alexandra Rivera,,50 and above,New,2013-11-28,151,2,208,6,6,0,104.0,208.0
224,AW00011223,Hailey Patterson,,50 and above,Regular,2014-01-06,149,27,1293,65,26,12,47.89,107.75
225,AW00011224,Tiffany Li,,50 and above,VIP,2013-12-03,150,3,6685,5,5,28,2228.33,238.75
226,AW00011225,Madison Lee,,50 and above,New,2013-09-06,153,2,73,5,5,3,36.5,24.33
227,AW00011226,Sydney Ross,,50 and above,New,2013-03-31,159,2,37,2,2,1,18.5,37.0
228,AW00011227,Marshall Chavez,,50 and above,VIP,2013-02-10,160,2,5910,5,5,18,2955.0,328.33
229,AW00011228,Ashley Jones,,50 and above,New,2014-01-17,149,2,77,4,4,3,38.5,25.67
230,AW00011229,Adrian Stewart,,50 and above,New,2014-01-25,149,2,81,5,5,6,40.5,13.5
231,AW00011230,Amber Turner,,50 and above,New,2013-12-09,150,2,54,5,5,5,27.0,10.8
232,AW00011231,Dennis Zhang,,50 and above,New,2013-11-12,151,2,64,4,4,9,32.0,7.11
233,AW00011232,Hailey Bryant,,50 and above,New,2013-11-13,151,2,39,3,2,2,19.5,19.5
234,AW00011233,Todd Li,,50 and above,New,2013-06-08,156,2,179,7,7,4,89.5,44.75
235,AW00011234,Anna Griffin,,50 and above,New,2013-09-19,153,2,76,4,4,7,38.0,10.86
236,AW00011235,Angel Stewart,,50 and above,New,2014-01-05,149,2,138,6,5,6,69.0,23.0
237,AW00011236,Jeremy Butler,,50 and above,New,2014-01-06,149,2,114,5,5,3,57.0,38.0
238,AW00011237,Clarence Anand,,50 and above,VIP,2013-11-25,151,4,10566,6,6,26,2641.5,406.38
239,AW00011238,Mayra Prasad,,50 and above,VIP,2013-04-30,158,4,7543,9,9,27,1885.75,279.37
240,AW00011239,Latoya Goel,,50 and above,VIP,2013-05-28,157,4,7511,11,11,28,1877.75,268.25
241,AW00011240,Anne Hernandez,,50 and above,VIP,2013-05-13,157,4,7586,13,10,27,1896.5,280.96
242,AW00011241,Lisa Cai,,50 and above,VIP,2013-10-29,152,7,11468,25,20,13,1638.29,882.15
243,AW00011242,Larry Munoz,,50 and above,VIP,2013-12-04,150,7,11067,12,12,15,1581.0,737.8
244,AW00011243,Robin Alvarez,,50 and above,VIP,2013-06-09,156,4,7164,12,10,28,1791.0,255.86
245,AW00011244,Alexis Coleman,,50 and above,VIP,2013-07-19,155,4,7175,12,11,29,1793.75,247.41
246,AW00011245,Ricky Vazquez,,50 and above,VIP,2013-12-11,150,4,10580,9,9,27,2645.0,391.85
247,AW00011246,Latasha Rubio,,50 and above,VIP,2013-12-20,150,4,10575,7,7,26,2643.75,406.73
248,AW00011247,Claudia Zhou,,50 and above,VIP,2013-08-17,154,4,7131,12,11,30,1782.75,237.7
249,AW00011248,Tristan Alexander,,50 and above,New,2013-07-14,155,1,38,3,3,0,38.0,38.0
250,AW00011249,Cindy Patel,,50 and above,VIP,2013-09-15,153,4,9890,11,11,23,2472.5,430.0
251,AW00011250,Shannon Liu,,50 and above,VIP,2013-08-06,154,4,7115,11,10,29,1778.75,245.34
252,AW00011251,Xavier Long,,50 and above,New,2013-10-18,152,1,2319,4,4,0,2319.0,2319.0
253,AW00011252,Nicholas Thompson,,50 and above,VIP,2013-12-18,150,3,6685,7,7,28,2228.33,238.75
254,AW00011253,Jos├® Hernandez,,50 and above,New,2013-12-03,150,16,695,30,16,9,43.44,77.22
255,AW00011254,Johnathan Vance,,50 and above,New,2013-12-14,150,2,204,9,9,1,102.0,204.0
256,AW00011255,Colin Lin,,50 and above,New,2013-03-31,159,2,114,5,5,1,57.0,114.0
257,AW00011256,Katelyn Hernandez,,50 and above,New,2013-10-16,152,2,81,5,5,6,40.5,13.5
258,AW00011257,Jacqueline Powell,,50 and above,VIP,2013-12-14,150,3,6676,6,6,28,2225.33,238.43
259,AW00011258,Xavier Hill,,50 and above,New,2013-07-15,155,2,49,4,4,2,24.5,24.5
260,AW00011259,Victoria Stewart,,50 and above,VIP,2013-12-20,150,3,6770,5,5,27,2256.67,250.74
